Year,Urban_Population,Urban_Population_Percent,Urban_Population_Growth,Population_Total,Population_Growth,Agriculture_Forestry_Fishing,Life_expectancy_at_birth_female_years,Life_expectancy_at_birth_male_years,Fixed_telephone_subscriptions,Inflation_consumer_prices_annual
2020,64186247,76.105,1.710287274,84339067,1.084193952,6.680559663,80.769,74.984,12448604,12.27895745
2019,63097812,75.63,1.960520286,83429607,1.3145137,6.400774928,80.563,74.724,11532903,15.17682157
2018,61872814,75.143,2.163513719,82340090,1.497232048,5.776012221,80.336,74.447,11633461,16.3324639
2017,60548564,74.644,2.286900105,81116451,1.601312234,6.038629796,80.088,74.149,11308444,11.14431108
2016,59179592,74.134,2.347922864,79827868,1.639942404,6.142292064,79.816,73.826,11077559,7.775134153
2015,57806286,73.611,2.397559996,78529413,1.669481585,6.868375345,79.522,73.47,11493057,7.670853648
2014,56436828,73.077,2.452606368,77229262,1.702643616,6.557235473,79.209,73.075,12528865,8.854572714
2013,55069491,72.531,2.463656498,75925454,1.692745456,6.676108123,78.88,72.644,13551705,7.493090305
2012,53729344,71.974,2.429055191,74651046,1.631148233,7.694877592,78.541,72.181,13859672,8.891569965
2011,52439952,71.402,2.342949265,73443254,1.531566078,8.173956265,78.194,71.694,15210846,6.471879671
2010,51225592,70.825,2.228073979,72326992,1.400088606,8.966928134,77.84,71.199,16201466,8.566444206
2009,50096869,70.241,2.117404532,71321406,1.273890354,8.0719888,77.479,70.716,16534356,6.250976631
2008,49047267,69.651,2.057650371,70418612,1.195378827,7.424668469,77.111,70.255,17502205,10.44412838
2007,48048358,69.053,2.069881962,69581854,1.192804331,7.457027437,76.734,69.822,18201006,8.75618091
2006,47064036,68.45,2.144033045,68756809,1.248876636,8.094881288,76.346,69.41,18831616,9.597242123
2005,46065708,67.84,2.233804862,67903461,1.323126487,9.165340552,75.949,69.004,18978223,8.179160368
2004,45048098,67.225,2.315793019,67010930,1.384733924,9.327422758,75.543,68.579,19125163,8.598261681
2003,44016864,66.602,2.386125544,66089402,1.438736645,9.795149778,75.127,68.113,18916721,21.60243845
2002,42978998,65.974,2.439496963,65145357,1.473865687,10.19075856,74.697,67.592,18890000,44.96412095
2001,41943212,65.34,2.415199485,64192243,1.494226621,8.788037969,74.252,67.015,18904486,54.40018876
2000,40942335,64.741,2.321438668,63240196,1.518109798,10.03285265,73.784,66.39,18395171,54.91537058
1999,40002831,64.223,2.362511067,62287391,1.549535629,10.45782594,73.284,65.731,17912000,64.86748764
1998,39068836,63.703,2.398844555,61329665,1.572877809,12.45031663,72.749,65.063,16807000,84.64134348
1997,38142787,63.179,2.42092658,60372571,1.584884416,14.46115269,72.182,64.407,15579000,85.66936165
1996,37230466,62.653,2.43861505,59423278,1.589088035,16.85455609,71.588,63.775,14286478,80.41215114
1995,36333539,62.123,2.451092646,58486453,1.589415173,15.69320308,70.975,63.179,13127000,89.11331722
1994,35453796,61.59,2.466622507,57564209,1.594179806,15.46283477,70.358,62.628,12212000,105.2149865
1993,34589982,61.055,2.493494693,56653808,1.610070065,15.41601856,69.748,62.114,10935523,66.09384298
1992,33738147,60.518,2.542416286,55748946,1.642779995,14.98366515,69.155,61.629,9410486,70.07610387
1991,32891195,59.976,2.986890473,54840595,1.689663445,15.24707558,68.58,61.167,8151740,65.97856799
